iter	Passed	Remaining
0	0	73
1	1	67
2	1	63
3	2	58
4	3	58
5	3	57
6	4	56
7	4	55
8	5	55
9	6	54
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	15	45
25	15	45
26	16	45
27	17	44
28	17	44
29	18	43
30	19	42
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	27	34
44	27	33
45	28	33
46	29	33
47	30	32
48	30	31
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	22
63	39	22
64	40	21
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
