iter	Passed	Remaining
0	135	135064
1	136	68057
2	137	45645
3	138	34410
4	139	27803
5	140	23310
6	141	20091
7	142	17673
8	143	15788
9	144	14286
10	145	13056
11	146	12032
12	147	11173
13	148	10438
14	149	9795
15	150	9225
16	150	8722
17	151	8274
18	152	7871
19	153	7511
20	154	7209
21	155	6916
22	156	6645
23	157	6396
24	158	6167
25	158	5956
26	159	5764
27	161	5589
28	162	5431
29	163	5273
30	163	5124
31	164	4984
32	165	4853
33	166	4728
34	167	4609
35	168	4504
36	169	4407
37	170	4309
38	171	4218
39	172	4130
40	172	4046
41	174	3978
42	175	3907
43	176	3836
44	177	3765
45	178	3697
46	179	3631
47	179	3568
48	180	3508
49	181	3453
50	182	3398
51	183	3345
52	184	3294
53	185	3245
54	186	3197
55	186	3151
56	187	3106
57	188	3065
58	189	3026
59	190	2986
60	191	2947
61	192	2909
62	193	2872
63	193	2836
64	194	2801
65	195	2767
66	196	2735
67	197	2702
68	198	2672
69	198	2641
70	199	2612
71	200	2583
72	201	2555
73	202	2528
74	202	2502
75	203	2479
76	204	2456
77	205	2432
78	206	2408
79	207	2385
80	208	2362
81	209	2340
82	209	2314
83	210	2293
84	211	2272
85	211	2252
86	212	2233
87	213	2214
88	214	2196
89	215	2178
90	216	2160
91	217	2144
92	218	2127
93	219	2111
94	220	2096
95	221	2081
96	221	2065
97	222	2051
98	223	2036
99	224	2021
100	225	2006
101	226	1992
102	227	1978
103	227	1964
104	228	1950
105	229	1937
106	230	1924
107	231	1910
108	232	1897
109	233	1888
110	234	1880
111	235	1868
112	236	1856
113	237	1845
114	238	1833
115	239	1821
116	239	1808
117	240	1798
118	242	1792
119	243	1782
120	243	1771
121	244	1759
122	245	1748
123	246	1738
124	246	1728
125	248	1720
126	248	1710
127	249	1701
128	250	1693
129	251	1683
130	252	1673
131	253	1664
132	253	1655
133	254	1646
134	255	1637
135	256	1628
136	257	1620
137	257	1611
138	258	1603
139	259	1594
140	260	1586
141	260	1576
142	261	1569
143	262	1562
144	263	1555
145	264	1548
146	265	1541
147	266	1533
148	267	1526
149	268	1519
150	268	1511
151	269	1504
152	270	1497
153	271	1490
154	272	1483
155	272	1476
156	273	1470
157	274	1463
158	275	1456
159	276	1450
160	276	1442
161	277	1436
162	278	1430
163	279	1424
164	280	1419
165	281	1414
166	282	1408
167	283	1402
168	284	1397
169	285	1391
170	285	1385
171	286	1380
172	287	1374
173	288	1368
174	289	1362
175	289	1357
176	290	1351
177	291	1346
178	292	1341
179	293	1336
180	294	1331
181	295	1326
182	296	1321
183	296	1316
184	297	1311
185	298	1306
186	299	1301
187	300	1296
188	300	1291
189	301	1286
190	302	1281
191	303	1276
192	304	1271
193	304	1266
194	305	1262
195	306	1257
196	307	1252
197	308	1248
198	308	1243
199	309	1238
200	310	1234
201	311	1230
202	312	1225
203	312	1221
204	313	1216
205	314	1212
206	315	1207
207	316	1203
208	316	1199
209	317	1195
210	318	1191
211	319	1187
212	320	1183
213	321	1179
214	321	1175
215	322	1171
216	323	1167
217	324	1163
218	324	1158
219	325	1154
220	326	1151
221	327	1147
222	328	1143
223	329	1140
224	329	1136
225	330	1132
226	331	1129
227	332	1125
228	333	1121
229	334	1118
230	334	1114
231	335	1111
232	336	1107
233	337	1104
234	338	1100
235	338	1097
236	339	1093
237	340	1089
238	341	1086
239	343	1087
240	344	1084
241	345	1080
242	345	1077
243	346	1074
244	347	1070
245	348	1067
246	349	1064
247	349	1061
248	350	1057
249	351	1055
250	352	1052
251	353	1049
252	354	1046
253	355	1043
254	356	1041
255	358	1042
256	360	1040
257	360	1038
258	362	1036
259	363	1033
260	364	1030
261	364	1027
262	366	1025
263	368	1026
264	369	1023
265	369	1020
266	370	1017
267	371	1014
268	372	1011
269	373	1009
270	374	1006
271	374	1003
272	375	1000
273	376	998
274	377	996
275	378	993
276	379	991
277	380	988
278	381	985
279	382	983
280	383	980
281	384	977
282	384	975
283	387	976
284	388	973
285	389	971
286	389	968
287	390	965
288	391	963
289	392	960
290	393	957
291	393	955
292	394	952
293	395	949
294	396	947
295	397	945
296	398	942
297	399	940
298	400	938
299	401	936
300	402	933
301	402	931
302	403	928
303	404	926
304	405	923
305	406	921
306	407	919
307	407	916
308	408	914
309	409	911
310	410	909
311	411	907
312	412	905
313	413	902
314	414	900
315	414	898
316	415	895
317	416	893
318	417	890
319	418	888
320	418	886
321	419	884
322	420	881
323	421	879
324	422	877
325	423	875
326	424	873
327	425	870
